Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Venezuela,South America,28414568,78434,,653,,68917,,8864,215,2760,23,1965367,69168,Americas
Bahrain,Asia,1716258,72662,,261,1,67475,,4926,63,42337,152,1478163,861271,EasternMediterranean
Nigeria,Africa,207432403,59345,,1113,,50768,,7464,7,286,5,535733,2583,Africa
Uzbekistan,Asia,33594251,58946,334,485,5,55633,352,2828,252,1755,14,1377915,41016,Europe
Singapore,Asia,5862339,57819,7,27,,57597,22,195,,9863,5,2885545,492217,WesternPacific
Moldova,Europe,4031478,56901,322,1375,9,41467,512,14059,744,14114,341,293824,72882,Europe
Switzerland,Europe,8671140,55932,1548,2078,1,45800,,8054,32,6450,240,1417260,163446,Europe
Armenia,Asia,2964701,52677,181,984,7,44710,38,6983,,17768,332,308019,103895,Europe
Algeria,Africa,44053891,52270,134,1768,8,36672,94,13830,23,1187,40,,,Africa
Austria,Europe,9019845,48896,750,818,5,39058,429,9020,101,5421,91,1698268,188281,Europe
